**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on August 5, 2014
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Locality
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Original Grid Reference	NZMG Easting	NZMG Northing	NZGD49 Latitude	NZGD49 Longitude	Map Year	Method	Accuracy	Locality	Country	Coordinate Comments	Locality Comments	Stratigraphic Name	Inferred Stage Lower	Inferred Lower Modifier	Inferred Stage Upper	Inferred Upper Modifier	Inferred Age Start	Inferred Age Stop	Known Stage Lower	Known Lower Modifier	Known Stage Upper	Known Upper Modifier	Known Age Start	Known Age Stop	Samples Nearby	Sample Relationships	Stratigraphic Relationships	Column/Map	Dip	Dip Direction	Strike	Facing	Stratigraphy Comments	
D44/f0285		Outcrop	JDC3824 JGB WH2 754					D44 237 784 (NZMS260 map reference (truncated))	2123700.000002939	5478399.999951559	45.79899°S	168.02989°E	1986			West face of Mt Rouse, at level of top of major new earth flow.	New Zealand				Etalian				245.5	238.0																
D44/f0286		Outcrop	JGB WH4 JDC 3826					D44 217 731 (NZMS260 map reference (truncated))	2121700.0000029407	5473099.999951813	45.84549°S	168.00006°E	1986			Flett's Hut Road, top of incline in pine forest, 200 metres northwest of gate.	New Zealand				Etalian				245.5	238.0																
D44/f7562	S150/f0562	Outcrop						D44 1377 9463 (NZMS260 map reference (truncated))	2113770.0000030296	5494629.999951218	45.64775°S	167.91534°E				North-west of Gladstone Peak on steep rocky exposures just before a prominent col. Takitimu Mountains.	New Zealand			TAKITIMU GROUP																	20	SE	55	Normal		
D44/f9001	S159/f1001	Outcrop						S159 987 773 (NZMS1 SthIsl (truncated))	2117947.3567805565	5480450.945562055	45.77741°S	167.95765°E	1975			LOW SILTSTONE BLUFF 50 M WEST OF BEECH EDGE, UP SECOND EAST TRIBUTARY OF LETHAM BURN. 	New Zealand		RECOLLECTED J.B. WATERHOUSE IN 1963-64.	MANGAREWA FORMATION																						
D44/f9002	S159/f1002	Outcrop	CTH 31					S159 003 869 (NZMS1 SthIsl (truncated))	2119257.9346145187	5489243.917895693	45.69916°S	167.98139°E				In Aparima River 20 yds upstream from locality 30. Approx. 40 chains from Aparima-Spence Burn junction.	New Zealand																									
D44/f9003	S159/f1003	Outcrop	CTH 32					S159 002 868 (NZMS1 SthIsl (truncated))	2119168.175090764	5489151.013233189	45.69995°S	167.98017°E				In Aparima River 20 yds upstream from locality 31.	New Zealand																			Mutch 1967						
D44/f9020	S159/f1020	Outcrop	15					S159 998 747 (NZMS1 SthIsl (truncated))	2118992.7469913107	5478093.556307892	45.79916°S	167.96921°E				Cngl lens near top of Glendale Is on S bank of Productus Ck.	New Zealand	GR from AR Mutch fieldsheet base map.	May have previous Fos. Rec. LF15 = JDC 2018	PRODUCTUS CREEK GROUP																						
D44/f9036	S159/f1036	Outcrop	AP56, 57, 58					S159 042 809 (NZMS1 SthIsl (truncated))	2122914.1930819717	5483825.200492091	45.74983°S	168.02403°E				On low bluffs above track in small scattered siltstone outcrops. 	New Zealand				Etalian		Kaihikuan		245.5	229.0							D45/f7563; D44/f9779; 		201.5 m - 338 m below base Sandstone (above); 		38	SE	15	Normal	Between known Gk and Ge. Contact exposed in river bank, just W of Stone Hut	
D44/f9062	S159/f1062	Outcrop	JDC 1462					S159 068 798 (NZMS1 SthIsl (truncated))	2125306.162750927	5482861.3190856045	45.75979°S	168.05398°E				Aparima River tributary. Second downstream of Pears' steep road cutting 2 chains W of clump of 5 kowhai tree NW-facing slope.	New Zealand			MURIHIKU SUPERGROUP	Kaihikuan				238.0	229.0	Kaihikuan				238.0	229.0									Dunrobin	
D44/f9129	S159/f1129	Outcrop	344					S159 997 708 (NZMS1 SthIsl (truncated))	2118962.4609030057	5474530.039389124	45.83115°S	167.96601°E				A folded limestone protruding through tussock and grass just S of a small stream with scrub on the N bank, which drains into upper Morley Stream.	New Zealand				Mangapirian		Braxtonian		285.0	259.8	Mangapirian		Braxtonian		285.0	259.8				Begg 4th year report 1974 OU						
D44/f9130	S159/f1130	Outcrop	757					S159 047 723 (NZMS1 SthIsl (truncated))	2123505.6596538066	5475978.276359486	45.82063°S	168.02551°E				Large outcrop of silts and very fine sands on the W flank of Mount Rouse, on the Etal Ridge.	New Zealand			Falcon Beds															25 m below top Falcon Beds; 25 m below top North Etal Group; 	Begg 1974 4th year report OU	10	E	170	Normal		
D44/f9131	S159/f1131	Outcrop	82 and 803					S159 001 742 (NZMS1 SthIsl (truncated))	2119274.5743060294	5477641.5940293595	45.80337°S	167.97248°E				Just above the main junction of the W-flowing tributary of Elbow Creek immediately S of Productus Creek. In the middle of the bifurcation.	New Zealand			MANGAREWA FORMATION	Braxtonian				276.0	259.8	Braxtonian				276.0	259.8			1 m above base Mangarewa Formation; 1 m above base Productus Creek Group; 	Begg 1974 4th year report OU					Fossils collected from just (no > 1 m) above the contact between Takitimu Group and Productus Creek Group.	
D44/f9132	S159/f1132	Outcrop	621					S159 026 689 (NZMS1 SthIsl (truncated))	2121640.8273463817	5472840.065122242	45.8478°S	167.9991°E				Road cutting in the W branch of the upper Beaumont Stream.	New Zealand			Capils Bush Beds	Etalian				245.5	238.0	Etalian				245.5	238.0			75 m above base Capils Bush Beds; 15 m below top Malakoff Hill Group; 	Begg 1974 4th year report OU	15	E	160	Normal		
D44/f9133	S159/f1133	Outcrop	421/422					S159 042 716 (NZMS1 SthIsl (truncated))	2123059.941851736	5475331.109642947	45.8262°S	168.01928°E				On a prominant strike ridge with a road along its top 300 m S of an abrupt cessation in the ridge.	New Zealand			Red Bog Group	Etalian				245.5	238.0	Etalian				245.5	238.0			210 m above base Red Bog Beds; 210 m above base North Etal Group; 	Begg 1974 4th year report OU	10	E	180	Normal	Establishes Etalian age for the Red Bog Beds of the N Etal Group.	
D44/f9478	S159/f0478	Outcrop						S159 991 747 (NZMS1 SthIsl (truncated))	2118353.423731115	5478082.592306422	45.7989°S	167.961°E	1975			PRODUCTUS CREEK. 2.3 KM AT 234 DEGREES FROM TRIG F LETHAM. RECOLLECTED BY A.R. MUTCH ET AL NOVEMBER, 1953.	New Zealand																									
D44/f9478A	S159/f0478A	Outcrop	PC13					D44 185 782 (NZMS260 map reference (truncated))	2118500.0000029798	5478199.999951556	45.79793°S	167.96297°E	1975			MANGAREWA FORMATION TYPE LOCALITY. PROMINENT BLUFF ON TRUE RIGHT OF PRODUCTUS CREEK.	New Zealand			MANGAREWA FORMATION	Braxtonian				276.0	259.8									c. 10 m above base PRODUCTUS CREEK Group; 	MUTCH 1972, FORCE 1975.				Normal		
D44/f9478B	S159/f0478B	Outcrop	HJC 1082					(D44) 2118500 5478200 (New Zealand Map Grid)	2118500.0000029798	5478199.999951556	45.79793°S	167.96297°E	1975			MANGAREWA FORMATION TYPE LOCALITY. PROMINENT BLUFF ON TRUE RIGHT OF PRODUCTUS CREEK. RECOLLECTION.	New Zealand			MANGAREWA FORMATION																						
D44/f9478C	S159/f0478C	Outcrop	HJC1140					(D44) 2118800 5478300 (New Zealand Map Grid)	2118800.000002978	5478299.9999515535	45.7972°S	167.9669°E	1975			PRODUCTUS CREEK, WAIRAKI HILLS, SOUTHLAND; CONSPICUOUS BLUFF ON TRUE RIGHT HAND SIDE OF PRODUCTUS CREEK WITH THE CLASSIC Glossopteris LOCALITY. FOSSILS YES AND ALMOST IN PLACE.	New Zealand																									
D44/f9479	S159/f0479	Outcrop						S159 993 781 (NZMS1 SthIsl (truncated))	2118482.8037303346	5481191.005301737	45.77106°S	167.96511°E	1975			CORAL BLUFF. 2 KM AT 311 DEGREES FROM TRIG F LETHAM ABOUT 1.50 KM NORTH ALONG STRIKE FROM GS3614. ALSO RECOLLECTED BY A.R. MUTCH AND PARTY, NOV. 1953.	New Zealand																				15	E	10			
D44/f9480	S159/f0480	Outcrop						S159 987 761 (NZMS1 SthIsl (truncated))	2117966.164447862	5479354.968040364	45.78726°S	167.95703°E	1975			LETHAM BURN. 2 KM AT 258 DEGREES FROM TRIG F LETHAM. WAIRAKI S.D.	New Zealand																									
D44/f9511	S159/f0511	Outcrop						S159 8900 6715 (NZMS1 SthIsl (truncated))	2109247.2739698826	5471029.257139055	45.85715°S	167.83838°E	1975			HEAD OF SOTH BRANCH OF SMALL CREEK OPPOSITE GIBRALTAR BURN, WAIRAKI RIVER JUNCTION. RECOLLECTED BY I.G. SPEDEN, P.M. CHANDLER and A.R. MUTCH, 5/9/57.	New Zealand			TAKITIMU GROUP	Carboniferous				358.9	298.9																
D44/f9542	S159/f0542	Outcrop						S159 046 801 (NZMS1 SthIsl (truncated))	2123292.0853911685	5483100.803425478	45.75655°S	168.02832°E	1975			WAIRAKI S.D. 48 KM AT 352 DEGREES FROM TRIG E AT THE SOUTH END OF THE SECOND PROMINENT HIGH BLUFF JUST NORTH OF THE FIRST EAST TRIBUTARY OF NORTH ETAL CREEK.	New Zealand				Etalian				245.5	238.0									304.8 m above top BED WITH EXTREMELY SMALL AMMONITE; 396.24 m below base G.S.3718 (Gk); 							
D44/f9543	S159/f0543	Outcrop						S159 046 803 (NZMS1 SthIsl (truncated))	2123288.9469376397	5483283.472285334	45.7549°S	168.02842°E	1975			WAIRAKI S.D. SOUTH END OF SECOND PROMINENT HIGH BLUFF JUST NORTH OF FIRST EAST TRIBUTARY OF NORTH ETAL CREEK. 4.8 KM AT 352 DEGREES FROM TRIG E.	New Zealand				Kaihikuan				238.0	229.0								76 m above D44/f9542; 								
D44/f9553	S159/f0553	Outcrop						S159 041 808 (NZMS1 SthIsl (truncated))	2122824.428443948	5483732.296753626	45.75062°S	168.02281°E	1975			WAIRAKI S.D. 1.6 KM AT 303 DEGREES FROM TRIG Z. 200 M SOUTH OF FIRE DEMOLISHED HUT ON SOUTH BANK OF APARIMA RIVER. 805 METRES WEST OF JUNCTION OF APARIMA RIVER AND NORTH ETAL CREEK.	New Zealand				Etalian				245.5	238.0											45	E	2			
D44/f9559	S159/f0559	Outcrop						S159 9445 7775 (NZMS1 SthIsl (truncated))	2114058.76259416	5480795.30520194	45.77216°S	167.90802°E	1975			IN STREAM BED 120 M BELOW MAIN FORK IN FIRST WEST TRIBUTARY ABOVE JUNCTION OF LETHAM BURN AND WAIRAKI RIVER, 2.84 KM AT 329 DEGREES FROM TRIG G.	New Zealand				Permian				298.9	252.2																
D44/f9604	S159/f0604	Outcrop						S159 8585 6880 (NZMS1 SthIsl (truncated))	2106344.731675023	5472486.914070786	45.84241°S	167.80227°E	1975			WAIRAKI GORGE. LARGE SLIPS WITH COPIOUS SCREE AT NORTHERN END OF WAIRAKI GORGE ON EAST SIDE. RECOLLECTED BY A.R. M ET AL ON 9/3/54 AND H.J.C. ET AL ON 18/12/81. WAIRAKI SURVEY DISTRICT. 7 KILOMETRES AT 320°30' FROM TRIG N MT LINTON.	New Zealand			TAKITIMU GROUP	Mangapirian				285.0	276.0									12802 m below base PRODUCTUS CREEK GROUP; 		45	NE	10			
D44/f9604A	S159/f0604A	Outcrop	125					(D44) 2106300 5472400 (New Zealand Map Grid)	2106300.0000030627	5472399.999951806	45.84317°S	167.80162°E	1975			WAIRAKI RIVER, SCREE AT EDGE OF RIVER FLAT, BY ROAD.	New Zealand			TAKITIMU GROUP													D44/f9604; 									
D44/f9621	S159/f0621	Outcrop						S159 988 770 (NZMS1 SthIsl (truncated))	2118043.3908791784	5480178.518671701	45.77991°S	167.95867°E	1975			40 M EAST OF PACK TRACK IN SMALL SADDLE SOUTH OF SECOND EAST BRANCH OF LETHAM BURN. WAIRAKI SURVEY DISTRICT.	New Zealand				Mangapirian				285.0	276.0																
D44/f9622	S159/f0622	Outcrop						S159 989 763 (NZMS1 SthIsl (truncated))	2118145.6934003723	5479540.765182756	45.78569°S	167.95948°E	1975			'CHONETES (UPPER NUCULANA) RIDGE LOCALITY' 200 M NORTH NORTHEAST OF JUNCTION OF FIRST EAST BRANCH AND LETHAM BURN ITSELF. WAIRAKI SURVEY DISTRICT. THIS FORM WAS FLEXED ON 12/6/70.	New Zealand				Mangapirian				285.0	276.0											30	E	10			
D44/f9623	S159/f0623	Outcrop						S159 989 763 (NZMS1 SthIsl (truncated))	2118145.6934003723	5479540.765182756	45.78569°S	167.95948°E	1975			'CHONETES RIDGE LOCALITY'. WAIRAKI SURVEY DISTRICT.	New Zealand				Mangapirian				285.0	276.0								3 m below D44/f9622; 			30	E	10			
D44/f9624	S159/f0624	Outcrop						S159 992 756 (NZMS1 SthIsl (truncated))	2118430.6568507315	5478906.144356293	45.79155°S	167.96264°E	1975			FIRST EAST BRANCH OF LETHAM BURN, ON RIDGE ACROSS STREAM FROM A PROMINENT SCARP OF CONGLOMERATE ON NORTH SIDE. WAIRAKI SURVEY DISTRICT.	New Zealand				Mangapirian				285.0	276.0																
D44/f9625	S159/f0625	Outcrop						S159 855 805 (NZMS1 SthIsl (truncated))	2105841.8768409654	5483166.421225585	45.74623°S	167.80452°E	1975			'LUMREEK BYPASS'. WEST SIDE OF GIBRALTAR BURN - REDCLIFF CREEK (SOUTH BRANCH) WATERSHED. IN SCREE. ALSO RECOLLECTED NOVEMBER 1956. TAKITIMU SURVEY DISTRICT.	New Zealand				Carboniferous				358.9	298.9								3000 m below D44/f9511; 								
D44/f9626	S159/f0626	Outcrop						S159 990 770 (NZMS1 SthIsl (truncated))	2118226.0539992913	5480181.653602376	45.77998°S	167.96102°E	1975			SECOND EAST BRANCH OF LETHAM BURN BY PROMINENT CONGLOMERATE SCARP ON EDGE OF BEECH. (SOUTH FORK). WAIRAKI SURVEY DISTRICT.	New Zealand				Mangapirian				285.0	276.0																
D44/f9651	S159/f0651	Outcrop						S159 9245 8380 (NZMS1 SthIsl (truncated))	2112137.245031052	5486289.302421093	45.72174°S	167.88777°E	1975			.75KM WEST OF MCLEAN PEAKS, ALONG THE RIDGE BETWEEN THESE PEAKS AND WAIRAKI PEAKS.	New Zealand			TAKITIMU GROUP	Telfordian		Mangapirian		288.5	276.0								300 m below D44/f9559; 								
D44/f9671	S159/f0671	Outcrop						S159 000 774 (NZMS1 SthIsl (truncated))	2119133.1023401828	5480562.656869335	45.77706°S	167.97296°E				Low ridge just inside bush at open of an acute indentation and just north of the northern creek coming down from Letham. Trig F, 3147'. 	New Zealand				Mangapirian				285.0	276.0																
D44/f9672	S159/f0672	Outcrop						S159 991 759 (NZMS1 SthIsl (truncated))	2118334.624665948	5479178.572672945	45.78905°S	167.96162°E	1975			SMALL OUTCROP ON SOUTH EDGE OF FIRST SMALL NORTH TRIBUTARY OF THE FIRST EAST TRIBUTARY OF THE LETHAM BURN. (BASAL NUCULANA RIDGE)	New Zealand				Mangapirian				285.0	276.0											85	E	350			
D44/f9672A	S159/f0672A	Outcrop						(D44) 2118400 5479500 (New Zealand Map Grid)	2118400.0000029826	5479499.999951506	45.7862°S	167.96271°E	1975			COLLECTION FROM OUTCROPS ON SMALL RIDGE BELOW SCARP OF GLENDALE LIMESTONE AND ABOVE (NORTH OF) ALEC MUTCH CREEK (1750~ A.S.L.), WAIRAKI HILLS, SOUTHLAND.	New Zealand			LETHAM FORMATION	Braxtonian				276.0	259.8																
D44/f9751	S159/f0751	Outcrop						S159 9975 8705 (NZMS1 SthIsl (truncated))	2118753.2497929493	5489372.266380365	45.69773°S	167.97502°E	1975			DUE WEST OF TRIG I. FIRST OUTCROP ON NORTH SIDE OF APARIMA RIVER AFTER ENTERING BUSH FROM LARGE MUDSTONE FACE BY CLEARING IN SADDLE TO THE NORTH.	New Zealand																				80	E			Guessed: pre-Ge (same as fauna at Ohai)	
D44/f9779	S159/f0779	Outcrop						S159 042 810 (NZMS1 SthIsl (truncated))	2122912.6234785244	5483916.534702871	45.74901°S	168.02409°E				W of North Etal Stream, mudstone forming bare faces few yds S of Pleasant Valley track, Wairaki S.D.	New Zealand										Etalian		Kaihikuan		245.5	229.0			below base Gk; 		56	E	180			
D44/f9779A	S159/f0779A	Outcrop						S159 040 811 (NZMS1 SthIsl (truncated))	2122728.3855057564	5484004.729554522	45.74812°S	168.02179°E				Road cut S of Aparima River as road crosses from high to low terrace. just W of stone hut.	New Zealand				Etalian				245.5	238.0									368.5 m below base Siltstone (above) - sandstone; 	Mutch 1964	74	SE	25	Normal	Uppermost Ge this section. Contact exposed in river bank.	
D44/f9780	S159/f0780	Outcrop						S159 042 809 (NZMS1 SthIsl (truncated))	2122914.1930819717	5483825.200492091	45.74983°S	168.02403°E				Immediately W of North Etal Stream on terrace top to S of Pleasant Valley track, Wairaki S.D.	New Zealand										Etalian		Kaihikuan		245.5	229.0			below base Gk; 							
D44/f9861	S159/f0861	Outcrop						S159 990 759 (NZMS1 SthIsl (truncated))	2118243.2930051587	5479177.005774207	45.78902°S	167.96045°E	1975			SMALL OUTCROP SOUTH EDGE OF FIRST SMALL NORTH TRIBUTARY OF THE FIRST EAST TRIBUTARY OF THE LETHAM BURN.	New Zealand																	3 m below D44/f9672; 								
D44/f9863	S159/f0863	Outcrop						S159 990 759 (NZMS1 SthIsl (truncated))	2118243.2930051587	5479177.005774207	45.78902°S	167.96045°E	1975			SMALL OUTCROP SOUTH EDGE OF FIRST SMALL NORTH TRIBUTARY OF THE FIRST EAST TRIBUTARY OF THE LETHAM BURN.	New Zealand																	15 m below D44/f9672; 								
D44/f9864	S159/f0864	Outcrop						S159 993 758 (NZMS1 SthIsl (truncated))	2118518.8550209105	5479090.374688045	45.78995°S	167.96392°E	1975			FIRST EAST BRANCH OF LETHAM BURN, 40 M WEST OF PROMINENT CONGLOMERATE SCARP ON NORTH SIDE.	New Zealand																	below D44/f9865; 								
D44/f9865	S159/f0865	Outcrop						S159 993 758 (NZMS1 SthIsl (truncated))	2118518.8550209105	5479090.374688045	45.78995°S	167.96392°E	1975			FIRST EAST BRANCH OF LETHAM BURN, 40 M WEST OF PROMINENT CONGLOMERATE SCARP ON NORTH SIDE.	New Zealand																	above D44/f9864; 								
D44/f9870	S159/f0870	Outcrop						S159 993 754 (NZMS1 SthIsl (truncated))	2118525.1220150907	5478725.047511167	45.79323°S	167.96371°E	1975			ON WEST SIDE OF RIDGE MIDWAY BETWEEN PRODUCTUS CREEK LOCALITY AND CONGLOMERATE SCARP IN THE FIRST EAST BRANCH OF LETHAM BURN.	New Zealand																									
D44/f9872	S159/f0872	Outcrop						S159 994 749 (NZMS1 SthIsl (truncated))	2118624.2864304916	5478269.954878027	45.79737°S	167.96462°E	1975			20M EAST OF PRODUCTUS CREEK LOCALITY.	New Zealand																		6 m below base PRODUCTUS CREEK SANDSTONE; 							
D44/f9873	S159/f0873	Outcrop						S159 994 745 (NZMS1 SthIsl (truncated))	2118630.5515688714	5477904.627414369	45.80066°S	167.96441°E	1975			100 M SOUTH OF PRODUCTUS CREEK LOCALITY ON OPPOSITE BANK OF STREAM AND ON THE EAST SIDE OF A SMALL SHALLOW VALLEY.	New Zealand																									
D44/f9874	S159/f0874	Outcrop						S159 002 739 (NZMS1 SthIsl (truncated))	2119370.6044731266	5477369.16318738	45.80587°S	167.97349°E	1975			LARGE OUTCROP AT FOOT OF STEEP SCARP ON SOUTH SIDE AT HEAD OF THE EAST BRANCH OF ELBOW CREEK SOUTH OF PRODUCTUS CREEK.	New Zealand																									
D44/f9875	S159/f0875	Outcrop						S159 005 751 (NZMS1 SthIsl (truncated))	2119625.807136361	5478469.850142897	45.79613°S	167.97764°E	1975			PROMINENT BLUFF TO THE NORTH AND WEST OF SOUTHEAST FLOWING MAIN BRANCH OF PRODUCTUS CREEK - NEAR APEX OF RE-ENTRANT INTO BEECH FOREST AS SHOWN ON AIRPHOTO 2256/23. 	New Zealand		ALSO RECOLLECTED ON 22.11.60 BY J.B. WATERHOUSE.																						TOPMOST PERMIAN CONGLOMERATE.	
D44/f9876	S159/f0876	Outcrop						S159 005 752 (NZMS1 SthIsl (truncated))	2119624.2405941905	5478561.182567982	45.79531°S	167.97769°E	1975			AT TOP OF AND TO THE REAR OF THE PROMINENT BLUFF (GS 7357) TO THE NORTH AND WEST OF THE SOUTH-EAST FLOWING MAIN BRANCH OF PRODUCTUS CREEK - AT APEX OF RE-ENTRANT INTO BEECH FOREST. 	New Zealand		ALSO RECOLLECTED ON 22.11.60 BY J.B. WATERHOUSE.																						HIGHEST PERMIAN IN WAIRAKI DOWNS.	
D44/f9878	S159/f0878	Outcrop						S159 986 760 (NZMS1 SthIsl (truncated))	2117876.3999652523	5479262.069624636	45.78805°S	167.9558°E	1975			BARE ROCK AND SOIL PATCH AT EAST FLAT SIDE OF LETHAM BURN, SOUTH OF JUNCTION WITH UNNAMED TRIBUTARY, SECOND NORTH OF PRODUCTUS AND ELBOW CREEKS. FOSSIL LOCALITY GS6323 LIES NORTH OF THE SAME TRIBUTARY 60 M EAST OF LETHAM BURN AND WEST OF TAKITIMU BLUFFS.	New Zealand			TAKITIMU GROUP																					FOSSILS LOOK LIKE PRODUCTUS CREEK ONES, SUGGESTING CLOSE IN AGE TO THE PRODUCTUS CREEK, AND CONFIRMING LITTLE TIME DIFFERENCE. (SEE J.B.W. 1958).	
D44/f9881	S159/f0881	Outcrop						S159 999 774 (NZMS1 SthIsl (truncated))	2119041.7702450952	5480561.089175582	45.77703°S	167.97179°E	1975			STREAM EDGE, EAST TRIBUTARY OF LETHAM BURN FLOWING NORTH OF CORAL BLUFF. IN PROTECTING PATCH OF BUSH.	New Zealand																								UPPER BRECCIA.	
D44/f9882	S159/f0882	Outcrop						S159 991 763 (NZMS1 SthIsl (truncated))	2118328.3566531544	5479543.8993925005	45.78577°S	167.96183°E	1975			CREST OF 'NUCULANA RIDGE' BELOW THE LIMESTONE SCARP, AND 20 M SOUTH OF GS6972. SMALL OUTCROP ONLY 18 inch SQUARE.	New Zealand			MANGAREWA FORMATION														6 m above D44/f9623; 								
D44/f9883	S159/f0883	Outcrop						S159 990 765 (NZMS1 SthIsl (truncated))	2118233.8906879327	5479724.995530075	45.78409°S	167.96076°E	1975			40 M NORTH OF GS6071 'NUCULANA RIDGE' ACROSS THE TINY CREEK BY 6 M (SECOND EAST TRIBUTARY OF LETHAM BURN) IN BARE BLUFFS 2-2.50 M HIGH.	New Zealand			MANGAREWA FORMATION																AR Mutch, 1960						
D44/f9885	S159/f0885	Outcrop						S159 999 756 (NZMS1 SthIsl (truncated))	2119069.980333829	5478917.111635622	45.79181°S	167.97085°E	1975			SCARPS 20-40 M SOUTH OF SOUTHERN EXTREMITY OF BUSH AT HEAD OF FIRST TRIBUTARY OF LETHAM NORTH OF JUNCTION WITH WAIRAKI RIVER AND EAST OF BIG BARE TRIASSIC SCARP WEST OF LETHAM TRIG RIDGE.	New Zealand																			MAPPED AS PRODUCTUS CREEK GROUP BY A.R. MUTCH.					UPPER BRECCIA FORMATION. 	
D44/f9888	S159/f0888	Outcrop						S159 985 756 (NZMS1 SthIsl (truncated))	2117791.335905442	5478895.177183311	45.7913°S	167.95442°E	1975			EAST BANK OF WAIRAKI RIVER, 1.50 KM NORTH OF WAIRAKI HUT 40 M NORTH OF JUNCTION WITH LETHAM BURN. THE TRACK CLIMBS HERE OVER A LOW BLUFF. FOSSILS FOUND IN THE BLUFF, BELOW THE TRACK, BY WATERS EDGE.	New Zealand			TAKITIMU GROUP																					FOUND ELSEWHERE IN THE UPPER TAKITIMU GROUP, AND IN THE ARTHURTON GROUP.	
D44/f9891	S159/f0891	Outcrop	CTH 28					S159 004 868 (NZMS1 SthIsl (truncated))	2119350.83933193	5489154.158324406	45.70002°S	167.98251°E				Outcrop is 500 yds downstream from large mudstone slip just before river turns to W.	New Zealand				Etalian				245.5	238.0																
D44/f9892	S159/f0892	Outcrop						S159 005 866 (NZMS1 SthIsl (truncated))	2119445.31652266	5488973.066427463	45.7017°S	167.98358°E				Outcrop forms cliff face on E side of river. Several large blocks have fallen near water's edge.	New Zealand										Etalian				245.5	238.0										
D44/f9894	S159/f0894	Outcrop						S159 013 859 (NZMS1 SthIsl (truncated))	2120186.981903755	5488346.317557723	45.70774°S	167.99259°E				Outcrop on N side of Aparima River in well bedded hard siltstone. River is fairly deep.	New Zealand										Etalian				245.5	238.0										
D44/f9949	S159/f0949	Outcrop						S159 983 702 (NZMS1 SthIsl (truncated))	2117693.2008088874	5473960.15147851	45.83556°S	167.94925°E	1975			200M ALONG ROCK HUT ROAD FROM BEAUMONT-WAIRAKI HUT ROAD, IN CUTTING.	New Zealand			UPPER TAKITIMU GROUP																						
D44/f9949A	S159/f0949A	Outcrop	HJC1145					(D44) 2117800 5473800 (New Zealand Map Grid)	2117800.000002974	5473799.999951763	45.83706°S	167.9505°E	1986			TAKITIMU MOUNTAINS, DUE WEST OF MORLEY HILL, HEADWATERS OF MORLEY STREAM; ROADSIDE OUTCROP ON ROCK HUTT TRACK, C. 100 M FROM GATE ON THE MAIN ELBOW CREEK - BEAUMONT TRACK.	New Zealand		No hard copy found.	ELBOW FORMATION	Mangapirian				285.0	276.0																
D44/f9951	S159/f0951	Outcrop						S159 998 747 (NZMS1 SthIsl (truncated))	2118992.7469913107	5478093.556307892	45.79916°S	167.96921°E	1975			SOUTH BANK OF PRODUCTUS CREEK JUST BELOW CREST OF VALLEY SIDE, ABOVE BEECH TREES.	New Zealand			GLENDALE LIMESTONE																AR Mutch						
D44/f9954	S159/f0954	Outcrop						S159 999 744 (NZMS1 SthIsl (truncated))	2119088.7777474313	5477821.126218157	45.80166°S	167.97023°E	1975			BLUFF IN WAIRAKI BRECCIA SOUTH OF NORTHERNMOST EAST TRIBUTARY OF ELBOW CREEK.	New Zealand			WAIRAKI BRECCIA																Mutch					Upper Tatarian	
D44/f9955	S159/f0955	Outcrop						S159 001 746 (NZMS1 SthIsl (truncated))	2119268.3097254187	5478006.922970033	45.80009°S	167.97268°E	1975			BLUFF SOUTH OF FENCE LINE THAT PASSES WEST FROM BEECH FOREST IN HEADWATERS OF PRODUCTUS CREEK.	New Zealand			HILTON LIMESTONE MEMBER																Mutch						
D44/f9957	S159/f0957	Outcrop						S159 865 686 (NZMS1 SthIsl (truncated))	2106941.4703505905	5472314.422312172	45.8443°S	167.8098°E	1975			WEST BANK OF WAIRAKI RIVER VALLEY, 0.40 -. 53 KM SOUTH OF TURN TOWARDS GS5885 ON SCREE AND IN PLACE, NORTH FROM ROAD END.	New Zealand		RICHEST OR SECOND RICHEST AND THE LARGEST FOSSIL LOCALITY IN NEW ZEALAND PERMIAN.	TAKITIMU GROUP	Telfordian		Makarewan		288.5	251.0															? above GS 5885	
D44/f9958	S159/f0958	Outcrop						S159 864 689 (NZMS1 SthIsl (truncated))	2106845.4565382386	5472586.835111122	45.8418°S	167.80878°E	1975			WEST BANK OF WAIRAKI RIVER VALLEY, AT TURN TOWARDS GS5885 AND WHERE ROAD JOINS THE VALLEY SIDE.	New Zealand			TAKITIMU GROUP																					Above GS 9276	
D44/f9959	S159/f0959	Outcrop						S159 895 677 (NZMS1 SthIsl (truncated))	2109695.3153758086	5471539.365349214	45.85282°S	167.84455°E	1975			SOUTHEAST SIDE OF WAIRAKI VALLEY, OPPOSITE GIBRALTAR BURN, A FEW METRES BELOW CREST OF RIDGE AND. 75 KM NORTH EAST OF GS 5296.	New Zealand			TAKITIMU GROUP																					Above GS 5296	
D44/f9960	S159/f0960	Outcrop						S159 897 677 (NZMS1 SthIsl (truncated))	2109877.969206622	5471542.490125081	45.8529°S	167.8469°E	1975			100 M NORTHEAST OF GS 9278 AT CREST OF RIDGE, WAIRAKI VALLEY.	New Zealand			TAKITIMU GROUP																						
