**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on August 5, 2014
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Locality
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Original Grid Reference	NZMG Easting	NZMG Northing	NZGD49 Latitude	NZGD49 Longitude	Map Year	Method	Accuracy	Locality	Country	Coordinate Comments	Locality Comments	Collectors	Collection Date	Fossils in Place	Sent To	Not Collected	Significance/Comments	Stratigraphic Name	Inferred Stage Lower	Inferred Lower Modifier	Inferred Stage Upper	Inferred Upper Modifier	Inferred Age Start	Inferred Age Stop	Known Stage Lower	Known Lower Modifier	Known Stage Upper	Known Upper Modifier	Known Age Start	Known Age Stop	Samples Nearby	Sample Relationships	Stratigraphic Relationships	Column/Map	Dip	Dip Direction	Strike	Facing	Stratigraphy Comments	Primary Grainsize	Secondary Grainsize	Comparator Used	Bedding Thickness	Bedding Features	Weathering	Hardness	Carbonate	Colour	Sedimentary Features	Inferred Environment	Nature of Rock Unit	Correspondence	
D44/f0148		Outcrop						(D44) 2118700 5479000 (New Zealand Map Grid)	2118700.00000298	5478999.999951525	45.79086°S	167.96617°E	1975			COLLECTION MADE FROM SANDY HORIZON (THIN) AND ADJACENT BEDS IN GLENDALE LIMESTONE 2/3 WAY UP BLUFFY EXPOSURE SOUTH SIDE OF SOUTH BRANCH OF ALEC THE MUTCH CREEK, WAIRAKI HILLS, SOUTHLAND.	New Zealand			Campbell, H.J.; 	January 22, 1980	Yes	(microflora) Olivecrona, Y.M./NZGS; (macrofauna) Campbell, H.J./NZGS; 		HIGH UP WITHIN GLENDALE - A SANDY HORIZON. SPECIFICALLY COLLECTING FOR BRACHIOPODS - NOT MUCH LUCK.	GLENDALE LIMESTONE	Puruhauan				259.8	254.2																fine sand		N			moderate	moderately hard	limestone	light grey (Dry)	shelly; carbonaceous (abundant); tuffaceous; burrowed; 	Marine	FINE GRAINED ATOMODESMATINID LIMESTONE.		
D44/f0149		Outcrop						(D44) 2118900 5477700 (New Zealand Map Grid)	2118900.0000029756	5477699.999951579	45.80264°S	167.96771°E	1975			FROM CONSPICUOUS BLUFFY HILLSIDE EXPOSURES TO EAST OF THE NORTH FORK OF CARAVAN CREEK.	New Zealand			Campbell, H.J.; Waterhouse, J.B.; 	December 16, 1980	Yes	(microflora) Olivecrona, Y.M./NZGS; (macrofauna) Campbell, H.J./NZGS; 			HAWTEL FORMATION	Waiitian				254.2	253.2																					moderate	moderately soft	limestone		shelly (abundant); rock fragments; tuffaceous; 	Marine	Calcareous siltstone to limestone in composition, deformed and sheared. ?Tuffaceous.		
D44/f0150		Outcrop						(D44) 2116600 5483600 (New Zealand Map Grid)	2116600.000003003	5483599.999951371	45.74838°S	167.94286°E	1975			FROM OBVIOUS LIMESTONE EXPOSED AS BLOCKS AND STREAM BED FAR UP LIME CREEK, DEEP IN TAKITIMU FOREST.	New Zealand			Campbell, H.J.; Waterhouse, J.B.; 	December 16, 1980	Yes	(microflora) Olivecrona, Y.M./NZGS; (macrofauna) Campbell, H.J./NZGS; 		AGE UNKNOWN - HAWTEL FORMATION EQUIVALENT??.		Waiitian				254.2	253.2																					moderate	hard	limestone		shelly (abundant); rock fragments; tuffaceous; 	Marine	Gritty limestone.		
D44/f0151		Outcrop						(D44) 2119400 5480200 (New Zealand Map Grid)	2119400.0000029765	5480199.999951482	45.78047°S	167.9761°E	1975			FROM CONSPICUOUS HUMPY OUTCROPS BELOW STEEP CHANGE IN SLOPE; BETWEEN TWO TRIBUTARIES OF PRODUCTUS CREEK.	New Zealand			Campbell, H.J.; Waterhouse, J.B.; 	December 16, 1980	Yes	(microflora) Olivecrona, Y.M./NZGS; (macrofauna) Campbell, H.J./NZGS; 			HAWTEL FORMATION	Waiitian				254.2	253.2														Normal							moderate	moderately hard	limestone		shelly; rock fragments; tuffaceous; 	Marine	Poorly sorted sandy limestone.		
D44/f0152		Outcrop						(D44) 2119600 5478700 (New Zealand Map Grid)	2119600.000002971	5478699.999951539	45.79405°S	167.97749°E	1975			COLLECTION FROM CLIFF EXPOSURE. UPHILL AND NORTHEAST OF D44/f146 UPPER PRODUCTUS CREEK, WAIRAKI HILLS SOUTHLAND.	New Zealand			Campbell, H.J.; 	January 22, 1980	Yes	(macrofauna) Campbell, H.J./NZGS; 			WAIRAKI FORMATION	Makarewan				253.2	251.0																very fine sand	silt	N			moderate	moderately hard	calcareous	dark green-grey (Dry)	shelly; 	Marine	Volcaniclastic sandy siltstone.		
D44/f0153		Outcrop						(D44) 2119300 5479500 (New Zealand Map Grid)	2119300.000002976	5479499.999951508	45.7867°S	167.97427°E	1975			COLLECTION FROM EXPOSURES BARED BY FALLEN TREES AT TOP OF RIDGE IN BUSH BETWEEN THE TWO TRIBUTARIES OF ALEC THE MUTCH CREEK. UPHILL AND NORTHEAST OF D44/f143, WAIRAKI HILLS SOUTHLAND.	New Zealand			Campbell, H.J.; 	January 24, 1980	Yes	(macrofauna) NZGS; 			WAIRAKI FORMATION	Makarewan				253.2	251.0																pebble	fine sand	N			moderate	moderately hard	calcareous	medium green (Dry)	shelly; rock fragments (abundant); tuffaceous; 	Marine	Fossiliferous volcaniclastic granule pebble conglomerate.		
D44/f0154		Outcrop						(B44) 2019000 5479800 (New Zealand Map Grid)	2019000.0000037707	5479799.999951349	45.72149°S	166.68849°E	1975			SAMPLE FROM EXPOSURE IN SOUTHERN MOST BRANCH OF LUCY'S CREEK, JUST INSIDE BEECH FOREST (2000 FEET ABOVE SEA LEVEL). WAIRAKI HILLS, SOUTHLAND.	New Zealand			Campbell, H.J.; 	January 24, 1980	Yes	(macrofauna) Campbell, H.J./NZGS; 			HAWTEL FORMATION	Waiitian				254.2	253.2																pebble	fine sand	N			moderate	moderately hard	calcareous	medium green (Dry)	shelly (abundant); rock fragments (abundant); 	Marine	Fossiliferous volcaniclastic conglomerate.		
D44/f0155		Outcrop						(D44) 2119200 5480600 (New Zealand Map Grid)	2119200.0000029793	5480599.999951467	45.77676°S	167.97385°E	1975			COLLECTION FROM SCRAPPY OUTCROP JUST INSIDE BEECH FOREST, BETWEEN TWO NORTHERN TRIBUTARIES OF LUCYS CREEK (1950 FEET ABOVE SEA LEVEL), WAIRAKI HILLS, SOUTHLAND.	New Zealand			Simes, J.E.; Campbell, H.J.; 	January 25, 1980	Yes	(microflora) Olivecrona, Y.M./NZGS; (macrofauna) Campbell, H.J./NZGS; 			WAIRAKI FORMATION	Makarewan				253.2	251.0																pebble	fine sand	N			moderate	moderately hard	calcareous	medium grey-green (Dry)	shelly; rock fragments (abundant); tuffaceous; 	Marine	Fossiliferous volcaniclastic granule pebble conglomerate.		
D44/f0155A		Outcrop	PC4					(D44) 2119200 5480600 (New Zealand Map Grid)	2119200.0000029793	5480599.999951467	45.77676°S	167.97385°E	1975			COLLECTION FROM SCRAPPY OUTCROP JUST INSIDE LETHAM BEECH FOREST BETWEEN TWO NORTHERN TRIBUTARIES OF CREEK SOUTH OF CORAL BLUFF (LUCY'S CREEK) WAIRAKI HILLS, SOUTHLAND.	New Zealand			Begg, J.G.; Olivecrona, Y.M.; 	April 11, 1983	Yes	(microflora) NZGS; (macrofauna) Keyes, I.W./NZGS; 		RECOLLECTION OF GS12655.	WAIRAKI FORMATION	Makarewan				253.2	251.0																pebble	fine sand	N			moderate	moderately hard	calcareous	medium grey-green (Dry)	shelly; carbonaceous; rock fragments (abundant); tuffaceous; 	Marine		J.G. BEGG FIELDBOOK SEE ALSO D44/f140.	
D44/f0156		Outcrop						(D44) 2119500 5477700 (New Zealand Map Grid)	2119500.000002972	5477699.999951581	45.80297°S	167.97542°E	1975			COLLECTION FROM CONSPICUOUS LOW RIDGE OUTCROP HIGH UP ON FLANK (1950 FEET ABOVE SEA LEVEL) TO SOUTH OF NORTHERN BRANCH OF CARAVAN CREEK. WAIRAKI HILLS, SOUTHLAND.	New Zealand			Simes, J.E.; Campbell, H.J.; 	January 26, 1980	Yes	(macrofauna) Campbell, H.J./NZGS; 			WAIRAKI FORMATION	Makarewan				253.2	251.0																pebble	coarse sand	N			moderate	moderately hard	calcareous	medium green-brown	shelly (abundant); rock fragments (abundant); tuffaceous; 	Marine	Fossiliferous volcaniclastic granule pebble conglomerate.		
D44/f0157		Outcrop						(B44) 2018300 5479900 (New Zealand Map Grid)	2018300.000003776	5479899.999951346	45.72011°S	166.67963°E	1975			COLLECTION FROM OUTCROP IN CREEK IN MAIN SOUTHERN BRANCH OF LUCY'S CREEK, ABOUT 100 M UPSTREAM FROM MINOR FORK AND INSIDE BEECH FORESTS.	New Zealand			Campbell, H.J.; 	January 24, 1980	Yes	(macrofauna) Campbell, H.J./NZGS; 			HAWTEL FORMATION	Waiitian				254.2	253.2																fine sand		N			moderate	moderately hard	limestone	medium red-brown		Marine	Red hematitic fossiliferous limestone.		
D44/f0176		Outcrop	131					(D44) 2113700 5475100 (New Zealand Map Grid)	2113700.0000030105	5475099.999951685	45.8231°S	167.89887°E	1975			WAIRAKI RIVER, ROAD SOUTH SIDE OF RIVER ON SPUR IMMEDIATELY UPSTREAM OF TELFORD BURN CONFLUENCE GRID REF S159/935712.	New Zealand			Campbell, H.J.; Olivecrona, Y.M.; Raine, J.I.; 	December 18, 1982	Yes	(microflora) Olivecrona, Y.M./NZGS; (macrofauna) Campbell, H.J./NZGS; 		NEW MACROFOSSIL LOCALITY.	TAKITIMU GROUP																						very fine sand		N			none or slight	moderately hard		dark grey (Dry)		Marine	SEQUENCE SANDSTONE GRIT AND SILTSTONE.	HJC FIELD BOOK 1981.	
D44/f0184		Outcrop	PC3					(D44) 2119100 5480600 (New Zealand Map Grid)	2119100.00000298	5480599.999951467	45.77671°S	167.97257°E	1975			COLLECTION FROM OUTCROP ON RIDGE BETWEEN TWO NORTHERN TRIBUTARIES OF CREEK SOUTH OF CORAL BLUFF (LUCY'S CREEK) ABOUT 50 M FROM THE BUSH LINE AND JUST SOUTH OF D44/f155A WAIRAKI HILLS, SOUTHLAND.	New Zealand			Olivecrona, Y.M.; Begg, J.G.; 	April 11, 1983	Yes	(macrofauna) Keyes, I.W./NZGS; 			WAIRAKI FORMATION	Makarewan				253.2	251.0																fine sand		N			moderate	moderately hard	calcareous	medium grey-green (Dry)				J.G. BEGG FIELD BOOK.	
D44/f0192		Outcrop	PC 11A					(D44) 2118300 5480300 (New Zealand Map Grid)	2118300.0000029844	5480299.999951476	45.77896°S	167.96206°E	1975			SMALL OUTCROP IN CREEK BED, 50 M BELOW BUSH EDGE IN STREAM. SOUTH BRANCH OF LUCY'S CREEK, IMMEDIATELY BENEATH TOPOGRAPHIC SCARP FORMED BY BASE OF GLENDALE LIMESTONE.	New Zealand			Begg, J.G.; Olivecrona, Y.M.; 	April 12, 1983	Yes	(macrofauna) Keyes, I.W./NZGS; 			MANGAREWA FORMATION	Braxtonian				276.0	259.8										FORCE, 1975.						medium sand	very fine sand	N			intense	moderately soft	non-calcareous	medium brown-yellow (Dry)		Marine		J.G. BEGG NOTEBOOK.	
D44/f0204		Outcrop	MI					(D44) 2118900 5474200 (New Zealand Map Grid)	2118900.000002967	5474199.999951745	45.83408°S	167.96495°E	1975			350 METRES NORTHWEST OF TRIG MORLEY. FROM SMALL OUTCROP ABOVE WEST FLOWING TRIBUTARY OF NE BRANCH MORLEY STREAM. 150 METRES EAST OF CONGLOMERATE BLUFFS IN UPPER MORLEY STREAM.	New Zealand			Begg, J.G.; Olivecrona, Y.M.; 	April 12, 1983	Yes	(microflora) Olivecrona, Y.M./NZGS; 		UNDIFFERENTIATED PRODUCTUS CREEK GROUP.		D'Urville Series				259.8	251.0																fine sand		N			moderate	hard	limestone	medium grey-green (Dry)		Marine		J.G. BEGG FIELD NOTEBOOK.	
D44/f0222		Outcrop	McF H18 JDC3737					D44 227 732 (NZMS260 map reference (truncated))	2122700.0000029346	5473199.99995181	45.84514°S	168.01299°E	1975			Track to Fletts Hut. In track cutting by ford between hut and airstrip.	New Zealand			MacFarlan, D.A.B.; Campbell, J.D.; Begg, J.G.; 	January 19, 1982	Yes	(macrofauna) Otago U; 																			Begg, 1981.						silt	very fine sand	N	5 - 60 cm		moderate	moderately hard	non-calcareous	medium brown-grey (Dry)		Marine			
D44/f0223		Outcrop	H14 JDC2021					D44 194 788 (NZMS260 map reference (truncated))	2119400.0000029732	5478799.999951534	45.79304°S	167.975°E	1975			'Big Scree' above Productus Creek, Wairaki Siltstone outcrop in place, near top of scree and overlain by sandstone.	New Zealand			Begg, J.G.; MacFarlan, D.A.B.; Campbell, J.D.; 	January 17, 1982	Yes	(macrofauna) Otago U; 				Etalian				245.5	238.0							D44/f9941; 			Begg (1981).						silt	very fine sand	Y	5 - 60 cm		moderate	moderately hard	non-calcareous	medium grey-brown (Dry)		Marine			
D44/f0232		Outcrop	HJC1162					(D44) 2112600 5481200 (New Zealand Map Grid)	2112600.0000030315	5481199.999951435	45.76771°S	167.88963°E	1975			TAKITIMU MOUNTAINS; HEADWATERS OF ARMCHAIR CREEK, EAST SIDE OF HEARTBREAK RIDGE. COLLECTION MADE FROM BOULDER BLOCK SOME 30 M UP NORTHERNMOST TRUE LEFT HAND SIDE TRIBUTARY OF ARMCHAIR CREEK.	New Zealand			Campbell, H.J.; Forsyth, P.J.; Woods, M.; 	February 10, 1987	No	(macrofauna) Campbell, H.J./NZGS; 		SMALL, CRUSHED ATOMODESMATINIDS IN ASSOCIATION WITH Attenuatella AND FOSSIL PLANT MATERIAL.	McLean Peaks Formation	Mangapirian				285.0	276.0	Aparima Series		D'Urville Series		288.5	251.0										fine sand	silt	N			moderate	moderately hard	non-calcareous	light grey-brown		Marine	SILTY FINE SANDSTONE.		
D44/f0234		Outcrop	HJC1164					(D44) 2112500 5481300 (New Zealand Map Grid)	2112500.0000030333	5481299.999951432	45.76675°S	167.88843°E	1975			TAKITIMU MOUNTAINS; HEADWATERS OF ARMCHAIR CREEK, EAST SIDE OF HEARTBREAK RIDGE. COLLECTION MADE FROM 2 ND PROMINENT KNOB TO LEFT AS ONE PROCEEDS UP RIDGE TOWARDS HEARTBREAK RIDGE, FROM SADDLE AT HEAD OF NORTHERNMOST TRUE LEFT HAND SIDE TRIBUTARY OF ARMCHAIR CREEK.	New Zealand			Forsyth, P.J.; Woods, M.; Campbell, H.J.; 	February 10, 1987	Yes	(macrofauna) Campbell, H.J./NZGS; 		CONTAINS FISH SCALES IN ASSOCIATION WITH Attenuatella. FIRST RECORD OF PERMIAN FISH SCALES FROM NEW ZEALAND.	MCLEAN PEAKS FORMATION	Mangapirian				285.0	276.0	Aparima Series		D'Urville Series		288.5	251.0										fine sand	silt	N	1 - 5 cm		none or slight	moderately hard	non-calcareous	dark grey (Dry)		Marine	WELL-BEDDED DARK GREY SILTSTONE/FINE SANDSTONE.		
D44/f0235		Outcrop	HJC1165					(D44) 2112600 5481200 (New Zealand Map Grid)	2112600.0000030315	5481199.999951435	45.76771°S	167.88963°E	1975			TAKITIMU MOUNTAINS; HEADWATERS OF ARMCHAIR CREEK. EAST SIDE OF HEARTBREAK RIDGE. OUTCROP EXPOSED C. 20 M ABOVE SADDLE ON RIDGE TOWARDS HEARTBREAK RIDGE, AT HEAD OF NORTHERNMOST TRUE LEFT HAND SIDE TRIBUTARY OF ARMCHAIR CREEK.	New Zealand			Forsyth, P.J.; Woods, M.; Campbell, H.J.; 	February 10, 1987	Yes	(macrofauna) Campbell, H.J./NZGS; 		APPROXIMATELY SAME HORIZON AS HJC1164. FAUNA CONTAINS Attenuatella AND OTHER BRACHIOPODS.	MCLEAN PEAKS FORMATION	Mangapirian				285.0	276.0	Aparima Series		D'Urville Series		288.5	251.0										silt	fine sand	N	5 - 60 cm		moderate	moderately hard	non-calcareous	light grey-brown		Marine	WEATHERED SANDY SILTSTONE.		
D44/f0236		Outcrop	HJC1139					(D44) 2118800 5479800 (New Zealand Map Grid)	2118800.000002981	5479799.999951495	45.78373°S	167.96808°E	1986			TAKITIMU MOUNTAINS; WEST SIDE OF LETHAM HILL; OUTCROP ON GRADER-SCRAPED SCARFACE, SOUTH SIDE OF FENCE LINE, ABOUT 4 POSTS UP FROM LOWEST POINT IN FENCE LINE, C. 50 M WEST OF BUSH EDGE AND DUE WEST OF LETHAM HILL TRIG.	New Zealand			Campbell, H.J.; Woods, M.; Forsyth, P.J.; 	January 29, 1987	Yes	(macrofauna) Campbell, H.J./NZGS; 		STRATIGRAPHIC POSITION SUGGESTS LITHOLOGY IS WITHIN GLENDALE LIMESTONE; THE FOSSILS AND LITHOLOGY INDICATE THAT IT IS WAIRAKI BRECCIA. COULD LITHOLOGY BE A DISPLACED BLOCK COMING FROM UP SEQUENCE?.	WAIRAKI BRECCIA	Makarewan				253.2	251.0																granule	coarse sand	N			intense	moderately soft	non-calcareous	medium brown-green		Marine	CONGLOMERATE.		
D44/f0238		Outcrop	HJC143					(D44) 2117600 5478200 (New Zealand Map Grid)	2117600.000002986	5478199.999951555	45.79743°S	167.95142°E	1986			TAKITIMU MOUNTAINS, ELBOW CREEK; STREAM BED OUTCROP BENEATH NEW BRIDGE, 20 M UPSTREAM AND 10 M DOWNSTREAM OF BRIDGE ON TRUE LEFT HAND SIDE.	New Zealand			Woods, M.; Campbell, H.J.; Forsyth, P.J.; 	January 30, 1987	Yes	(macrofauna) Campbell, H.J./NZGS; 		ONE OF THE HIGHEST FOSSIL LOCALITIES WITHIN TAKITIMU GROUP YAm.	ELBOW FORMATION																						silt	medium sand		1 - 5 cm		none or slight	moderately hard	non-calcareous	dark grey (Dry)		Marine	DARK SILTSTONE.		
D44/f0239		Outcrop	HJC1144					(D44) 2117500 5477900 (New Zealand Map Grid)	2117500.0000029868	5477899.9999515675	45.80007°S	167.94989°E	1986			TAKITIMU MOUNTAINS; ELBOW CREEK; OUTCROP ON TRUE RIGHT HAND SIDE OF ELBOW CREEK C. 45-50 M UP FROM ITS JUNCTION WITH WAIRAKI RIVER AND TO IMMEDIATE EAST OF END POST OF NEW FENCE.	New Zealand			Campbell, H.J.; Woods, M.; Forsyth, P.J.; 	January 30, 1987	Yes	(macrofauna) Campbell, H.J./NZGS; 		OUTCROP INCLUDES DARK ATOMODESMATINID LIMESTONE; N.B. WITHIN TAKITIMU GROUP.	ELBOW FORMATION	Mangapirian				285.0	276.0																silt	fine sand	N	1 - 5 cm		none or slight	moderately hard	calcareous	medium grey		Marine	DARK CALCAREOUS SILTSTONE.		
D44/f0240		Outcrop	HJC1153					(D44) 2106300 5472600 (New Zealand Map Grid)	2106300.000003063	5472599.999951794	45.84137°S	167.80179°E	1986			TAKITIMU MOUNTAINS, WAIRAKI RIVER; OUTCROP AND SCREES ON NORTH LEADING RIDGE OF HILL 439, HIGH ABOVE WAIRAKI RIVER WHERE IT CUTS IN CLOSEST TO RIDGE.	New Zealand			Campbell, H.J.; Grebneff, A.; Woods, M.; 	February 5, 1987	Yes	(macrofauna) Campbell, H.J./NZGS; 		CLOSE TO D44/f9604 THE LOWEST RICH FOSSIL LOCALITY WITHIN TAKITIMU GROUP.	BRUNEL FORMATION	Telfordian				288.5	285.0							D44/f9604; 									granule	fine sand	N	5 - 60 cm		none or slight	hard	calcareous	light green (Dry)		Marine	BRECCIA.		
D44/f0241		Outcrop	HJC1154					(D44) 2109600 5471400 (New Zealand Map Grid)	2109600.000003033	5471399.999951873	45.85402°S	167.84321°E	1986			TAKITIMU MOUNTAINS, WAIRAKI RIVER; OUTCROP ON HILLSIDE ON N SIDE OF HILL 452, HIGH UP GULLY DIRECTLY OPPOSITE GIBRALTAR BURN.	New Zealand			Campbell, H.J.; Grebneff, A.; Woods, M.; 	February 5, 1987	Yes	(macrofauna) Campbell, H.J./NZGS; 		CLOSE TO D44/f9511, TYPE LOCALITY OF Martinia adentata, Platyeichum spirolaxum, Spironemella dignatas, Coronopsis regularis; ALL WATERHOUSE SPECIES.	BRUNEL FORMATION	Mangapirian				285.0	276.0							D44/f9511; 									granule	silt	N	5 - 60 cm		intense	moderately hard	non-calcareous	medium brown		Marine	BRECCIA.		
D44/f0242		Outcrop	HJC1155					(D44) 2109700 5471300 (New Zealand Map Grid)	2109700.0000030315	5471299.9999518795	45.85498°S	167.84442°E	1986			TAKITIMU MOUNTAINS, WAIRAKI RIVER; ROADSIDE OUTCROP ON SOUTH SIDE OF ROAD OVER HILL 452 BETWEEN WAIRAKI RIVER AND SHARPRIDGE CREEK, SOME 20-30 M ABOVE LOWEST POINT IN ROAD WHERE IT CROSSES HEAD OF GULLY WITH D44/f9511.	New Zealand			Campbell, H.J.; Woods, M.; Grebneff, A.; 	February 6, 1987	Yes	(macrofauna) Campbell, H.J./NZGS; 		CLOSE TO D44/f9511, TYPE LOCALITY OF Martinia adentata, Platyteichum spirolaxum, Spironemella dignitas, AND Coronopsis regularis, ALL WATERHOUSE SPECIES.	BRUNEL FORMATION	Mangapirian				285.0	276.0							D44/f9511; 									granule	silt	N	5 - 60 cm		intense	moderately hard	non-calcareous	medium brown		Marine	BRECCIA.		
D44/f0243		Outcrop	HJC1156					(D44) 2109800 5471400 (New Zealand Map Grid)	2109800.00000303	5471399.999951873	45.85413°S	167.84578°E	1986			TAKITIMU MOUNTAINS, WAIRAKI RIVER; OUTCROP ON KNOB FACING WAIRAKI RIVER TO NORTH SIDE OF ROAD OVER HILL 452, (BETWEEN WAIRAKI RIVER AND SHARPRIDGE CREEK), C. 400 M BEFORE END OF TRACK AND MAJOR FENCE JUNCTION.	New Zealand			Campbell, H.J.; Woods, M.; Grebneff, A.; 	February 6, 1987	Yes	(macrofauna) Campbell, H.J./NZGS; 			BRUNEL FORMATION																						granule	silt	N	5 - 60 cm		intense	moderately hard	non-calcareous	medium brown		Marine	BRECCIA.		
D44/f0285		Outcrop	JDC3824 JGB WH2 754					D44 237 784 (NZMS260 map reference (truncated))	2123700.000002939	5478399.999951559	45.79899°S	168.02989°E	1986			West face of Mt Rouse, at level of top of major new earth flow.	New Zealand			Campbell, J.D.; Begg, J.G.; 	February 10, 1984	Yes	(macrofauna) Otago U; 				Etalian				245.5	238.0																													
D44/f0286		Outcrop	JGB WH4 JDC 3826					D44 217 731 (NZMS260 map reference (truncated))	2121700.0000029407	5473099.999951813	45.84549°S	168.00006°E	1986			Flett's Hut Road, top of incline in pine forest, 200 metres northwest of gate.	New Zealand			Campbell, J.D.; Begg, J.G.; 	February 12, 1984	Yes	(macrofauna) Otago U; 				Etalian				245.5	238.0																													
D44/f7562	S150/f0562	Outcrop						D44 1377 9463 (NZMS260 map reference (truncated))	2113770.0000030296	5494629.999951218	45.64775°S	167.91534°E				North-west of Gladstone Peak on steep rocky exposures just before a prominent col. Takitimu Mountains.	New Zealand			Scott, G.L.; 	February 22, 1974	Yes	(macrofauna) Otago U; 		Lapillituff-tuff sequence.	TAKITIMU GROUP																	20	SE	55	Normal		fine sand	mud	Y	5 - 60 cm	cross-bedded	moderate	moderately hard	non-calcareous	medium grey-brown (Dry)	carbonaceous; rock fragments; tuffaceous; burrowed; pyritic; 	Marine			
D44/f9001	S159/f1001	Outcrop						S159 987 773 (NZMS1 SthIsl (truncated))	2117947.3567805565	5480450.945562055	45.77741°S	167.95765°E	1975			LOW SILTSTONE BLUFF 50 M WEST OF BEECH EDGE, UP SECOND EAST TRIBUTARY OF LETHAM BURN. 	New Zealand		RECOLLECTED J.B. WATERHOUSE IN 1963-64.	Hall, M.; Waterhouse, J.B.; 	November 1960	Yes	(macrofauna) NZGS; 			MANGAREWA FORMATION																						silt						moderately hard	calcareous	light blue-grey					
D44/f9002	S159/f1002	Outcrop	CTH 31					S159 003 869 (NZMS1 SthIsl (truncated))	2119257.9346145187	5489243.917895693	45.69916°S	167.98139°E				In Aparima River 20 yds upstream from locality 30. Approx. 40 chains from Aparima-Spence Burn junction.	New Zealand			Harper, C.T.; 	February 1961	Yes	Otago U; 																																			Marine			
D44/f9003	S159/f1003	Outcrop	CTH 32					S159 002 868 (NZMS1 SthIsl (truncated))	2119168.175090764	5489151.013233189	45.69995°S	167.98017°E				In Aparima River 20 yds upstream from locality 31.	New Zealand			Harper, C.T.; 	February 1961	Yes	Otago U; 																			Mutch 1967																Marine			
D44/f9020	S159/f1020	Outcrop	15					S159 998 747 (NZMS1 SthIsl (truncated))	2118992.7469913107	5478093.556307892	45.79916°S	167.96921°E				Cngl lens near top of Glendale Is on S bank of Productus Ck.	New Zealand	GR from AR Mutch fieldsheet base map.	May have previous Fos. Rec. LF15 = JDC 2018	Force, L.M.; Force, E.R; 	1968		(macrofauna) ; 		Spiriferella n.sp. Wat. 1968 found only in this horizon.	PRODUCTUS CREEK GROUP																						pebble	coarse sand					moderately soft	non-calcareous		shelly (abundant); 	Marine	Conglomerate (scoria above)		
D44/f9036	S159/f1036	Outcrop	AP56, 57, 58					S159 042 809 (NZMS1 SthIsl (truncated))	2122914.1930819717	5483825.200492091	45.74983°S	168.02403°E				On low bluffs above track in small scattered siltstone outcrops. 	New Zealand			Force, E.R; 	February 18, 1968	Yes	(macrofauna) ; 				Etalian		Kaihikuan		245.5	229.0							D45/f7563; D44/f9779; 		201.5 m - 338 m below base Sandstone (above); 		38	SE	15	Normal	Between known Gk and Ge. Contact exposed in river bank, just W of Stone Hut	silt					none or slight	moderately soft	non-calcareous	dark grey-brown (Dry)	burrowed; 		Crumbly siltstone		
D44/f9062	S159/f1062	Outcrop	JDC 1462					S159 068 798 (NZMS1 SthIsl (truncated))	2125306.162750927	5482861.3190856045	45.75979°S	168.05398°E				Aparima River tributary. Second downstream of Pears' steep road cutting 2 chains W of clump of 5 kowhai tree NW-facing slope.	New Zealand			Campbell, J.D.; 	February 4, 1969	Yes	(macrofauna) Otago U; 			MURIHIKU SUPERGROUP	Kaihikuan				238.0	229.0	Kaihikuan				238.0	229.0									Dunrobin	coarse sand	pebble					moderately soft	non-calcareous	light grey		Marine			
D44/f9129	S159/f1129	Outcrop	344					S159 997 708 (NZMS1 SthIsl (truncated))	2118962.4609030057	5474530.039389124	45.83115°S	167.96601°E				A folded limestone protruding through tussock and grass just S of a small stream with scrub on the N bank, which drains into upper Morley Stream.	New Zealand			Begg, J.G.; 	January 1974	Yes	(macrofauna) Otago U; 		These fossils are from an infaulted sliver of Productus Creek Group rocks.		Mangapirian		Braxtonian		285.0	259.8	Mangapirian		Braxtonian		285.0	259.8				Begg 4th year report 1974 OU						very fine sand	silt	N	60 - 120 cm		none or slight	moderately hard	limestone	medium grey (Dry)	shelly; 	Marine	Limestone interbedded with calcareous very fine sandstones-siltstones.		
D44/f9130	S159/f1130	Outcrop	757					S159 047 723 (NZMS1 SthIsl (truncated))	2123505.6596538066	5475978.276359486	45.82063°S	168.02551°E				Large outcrop of silts and very fine sands on the W flank of Mount Rouse, on the Etal Ridge.	New Zealand			Begg, J.G.; 	May 1974	Yes	(macrofauna) Otago U; 			Falcon Beds															25 m below top Falcon Beds; 25 m below top North Etal Group; 	Begg 1974 4th year report OU	10	E	170	Normal		silt	very fine sand	N	5 - 60 cm	cross-bedded	none or slight	moderately hard	non-calcareous	medium grey (Dry)	rock fragments; tuffaceous; 	Marine	Moderately bedded medium grey siltstones.		
